fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2011-04-27,19.18,59.59,0.36,0.0,1.296
2011-04-28,18.82,77.73,0.27,7.86,0.9720000000000001
2011-04-29,12.53,68.82,0.47,10.2,1.692
2011-04-30,11.03,67.57,0.57,0.78,2.052
2011-05-01,8.87,66.54,0.5,0.48,1.8
2011-05-02,6.77,62.24,0.4,0.0,1.4400000000000002
2011-05-03,8.68,53.75,0.35,0.0,1.26
2011-05-04,14.73,48.18,0.39,0.0,1.4040000000000001
2011-05-05,16.6,48.34,0.44,0.0,1.584
2011-05-06,15.24,61.59,0.5,0.0,1.8
2011-05-07,16.82,65.71,0.4,0.0,1.4400000000000002
2011-05-08,13.06,57.68,0.43,0.0,1.548
2011-05-09,12.71,57.65,0.37,0.0,1.332
2011-05-10,17.58,71.21,0.44,0.02,1.584
2011-05-11,15.1,78.93,0.32,0.0,1.1520000000000001
2011-05-12,13.95,80.74,0.36,0.62,1.296
2011-05-13,15.94,84.52,0.3,2.43,1.08
2011-05-14,14.94,82.78,0.31,0.38,1.116
2011-05-15,12.34,82.06,0.32,0.0,1.1520000000000001
2011-05-16,12.08,80.54,0.49,0.0,1.764
2011-05-17,12.68,81.73,0.31,0.02,1.116
2011-05-18,12.61,74.73,0.33,0.0,1.1880000000000002
2011-05-19,14.2,72.66,0.57,0.0,2.052
2011-05-20,13.12,78.25,0.48,0.0,1.728
2011-05-21,14.37,83.87,0.48,0.0,1.728
2011-05-22,14.29,74.29,0.42,0.0,1.512
2011-05-23,11.35,59.61,0.51,0.0,1.836
2011-05-24,14.07,68.85,0.29,0.04,1.044
2011-05-25,12.77,57.54,0.6,0.0,2.16
2011-05-26,10.54,65.98,0.56,0.0,2.0160000000000005
2011-05-27,9.02,79.08,0.46,0.0,1.6560000000000001
2011-05-28,9.84,79.49,0.5,0.0,1.8
2011-05-29,9.53,82.35,0.42,0.0,1.512
2011-05-30,10.83,81.38,0.6,0.0,2.16
2011-05-31,10.62,78.95,0.41,0.0,1.476
2011-06-01,10.45,84.24,0.44,0.0,1.584
2011-06-02,12.6,78.2,0.39,0.0,1.4040000000000001
2011-06-03,9.67,80.17,0.49,0.0,1.764
2011-06-04,8.12,74.6,0.59,0.0,2.124
2011-06-05,11.54,72.7,0.53,0.06,1.9080000000000001
2011-06-06,10.43,85.85,0.53,3.19,1.9080000000000001
2011-06-07,7.94,79.45,0.47,0.0,1.692
2011-06-08,12.52,62.84,0.65,0.0,2.3400000000000003
2011-06-09,10.81,65.66,0.59,0.0,2.124
2011-06-10,14.42,51.46,0.58,0.0,2.088
2011-06-11,15.32,58.43,0.6,0.0,2.16
2011-06-12,13.19,59.14,0.62,0.0,2.232
2011-06-13,6.56,53.12,0.53,0.0,1.9080000000000001
2011-06-14,8.84,74.95,0.64,0.03,2.3040000000000003
